Date,AAPL_Daily_Adj._Open-Adj._Close_P_Delta,AAPL_AfterHours_Adj._Close-Adj._Open_P_Delta,AAPL_Adj._Volume,AAPL_25-day_Adj._Close_MA,AAPL_50-day_Adj._Close_MA,AAPL_100-day_Adj._Close_MA,AAPL_200-day_Adj._Close_MA,GOOGL_Daily_Adj._Open-Adj._Close_P_Delta,GOOGL_AfterHours_Adj._Close-Adj._Open_P_Delta,GOOGL_Adj._Volume,GOOGL_25-day_Adj._Close_MA,GOOGL_50-day_Adj._Close_MA,GOOGL_100-day_Adj._Close_MA,GOOGL_200-day_Adj._Close_MA,GOOG_Daily_Adj._Open-Adj._Close_P_Delta,GOOG_AfterHours_Adj._Close-Adj._Open_P_Delta,GOOG_Adj._Volume,GOOG_25-day_Adj._Close_MA,GOOG_50-day_Adj._Close_MA,GOOG_100-day_Adj._Close_MA,GOOG_200-day_Adj._Close_MA,AOSL_Daily_Adj._Open-Adj._Close_P_Delta,AOSL_AfterHours_Adj._Close-Adj._Open_P_Delta,AOSL_Adj._Volume,AOSL_25-day_Adj._Close_MA,AOSL_50-day_Adj._Close_MA,AOSL_100-day_Adj._Close_MA,AOSL_200-day_Adj._Close_MA,MSFT_Daily_Adj._Open-Adj._Close_P_Delta,MSFT_AfterHours_Adj._Close-Adj._Open_P_Delta,MSFT_Adj._Volume,MSFT_25-day_Adj._Close_MA,MSFT_50-day_Adj._Close_MA,MSFT_100-day_Adj._Close_MA,MSFT_200-day_Adj._Close_MA,FB_Daily_Adj._Open-Adj._Close_P_Delta,FB_AfterHours_Adj._Close-Adj._Open_P_Delta,FB_Adj._Volume,FB_25-day_Adj._Close_MA,FB_50-day_Adj._Close_MA,FB_100-day_Adj._Close_MA,FB_200-day_Adj._Close_MA,ORCL_Daily_Adj._Open-Adj._Close_P_Delta,ORCL_AfterHours_Adj._Close-Adj._Open_P_Delta,ORCL_Adj._Volume,ORCL_25-day_Adj._Close_MA,ORCL_50-day_Adj._Close_MA,ORCL_100-day_Adj._Close_MA,ORCL_200-day_Adj._Close_MA,INTC_Daily_Adj._Open-Adj._Close_P_Delta,INTC_AfterHours_Adj._Close-Adj._Open_P_Delta,INTC_Adj._Volume,INTC_25-day_Adj._Close_MA,INTC_50-day_Adj._Close_MA,INTC_100-day_Adj._Close_MA,INTC_200-day_Adj._Close_MA,IBM_Daily_Adj._Open-Adj._Close_P_Delta,IBM_AfterHours_Adj._Close-Adj._Open_P_Delta,IBM_Adj._Volume,IBM_25-day_Adj._Close_MA,IBM_50-day_Adj._Close_MA,IBM_100-day_Adj._Close_MA,IBM_200-day_Adj._Close_MA,ex_AAPL_Daily_Adj._Open-Adj._Close_P_Delta,pr_AAPL_Daily_Adj._Open-Adj._Close_P_Delta,Abs Prediction Error,ex AAPL cumulative sum,pr AAPL cumulative sum,ex AAPL 5-day MA,pr AAPL 5-day MA
1,0.012835656,-0.002487949,37654505,121.811668,122.3539794,115.4334058,106.3483262,0.011269473,0.002239703,1590320,552.3632,554.2552,539.5479,557.666,0.009290793,0.003031342,1589248,544.4842,548.233,534.5089,550.2430195,0.002325581,-0.006960557,22405,8.8008,8.8498,8.8941,9.084425,0.007382236,-0.002210073,25064273,39.90285115,40.44070469,42.03892429,42.41530719,0.003676471,-0.006262555,45547963,82.7984,80.6384,78.8128,76.690177,0.000919329,-0.000918484,7343916,42.12781496,42.08437986,41.94482019,40.27571504,0.008947856,-0.020183486,21144178,29.79914179,30.63535958,32.26772839,31.9187781,0.005900602,-0.000786164,4024674,152.2871448,151.3355075,149.4370863,159.2396088,0.010678098,-0.000990629,0.011668727,0.021025805,0.009357078,0.010678098,-0.000990629
2,0.010678098,0.006323745,45770902,121.8580194,122.5017245,115.5409265,106.5200639,0.012808634,0.040523087,3909155,552.0152,554.6012,539.6452,557.5613,0.011090573,0.034917733,4173376,543.9842,548.4342,534.5752,550.1225695,0.005841122,-0.004645761,25514,8.7912,8.8442,8.8945,9.080725,0.010491956,0.053530226,46309530,39.93491558,40.46057106,42.00005822,42.4266173,-0.020095125,0.004368402,73728080,82.8584,80.7828,78.8607,76.788427,-0.002757987,0.000460936,11302049,42.10502854,42.0757026,41.96216015,40.29132148,0.009675406,0.001854714,23775289,29.8544039,30.60981032,32.22714956,31.92912816,0.03032137,-5.87E-05,8230392,152.6790729,151.5549572,149.5255687,159.1769903,-0.001609319,-0.00130457,0.000304749,0.025740231,0.02604498,0.00453439,-0.0011476
3,-0.001609319,0.015581824,44525905,121.9655933,122.6060151,115.6550111,106.6945562,-0.011016292,-0.001551442,4608403,552.4148,555.3144,539.891,557.5128,-0.001837131,-0.002955438,4919031,544.267,549.016,534.8075,550.0674695,0,-0.004667445,37632,8.7824,8.8392,8.8941,9.076575,0.048401226,-0.013369543,130933665,40.14810589,40.57106614,42.00385335,42.46005697,-0.014981273,0.004170244,29660356,82.8096,80.8832,78.899,76.871227,-0.007601935,0.000464253,17767086,42.06900804,42.07321205,41.97125906,40.3068657,-0.010182043,0,22759909,29.90512391,30.58199002,32.18072736,31.93773727,-0.002643482,0.006537872,3888439,153.0537155,151.7725279,149.6076774,159.1066845,0.002569723,-0.00132567,0.003895393,0.043891778,0.039996385,0.003879501,-0.001206956
4,0.002569723,0.013607237,96954207,122.2263199,122.7255631,115.8291104,106.8821832,-0.011610245,-0.003179538,2403105,552.4616,555.7166,540.1557,557.4432,-0.014235254,-0.001314439,2398039,544.0674,549.2648,535.0232,549.9888195,-0.009378664,0.003550296,32757,8.762,8.8296,8.8928,9.071825,0.016938387,-0.00520508,59248172,40.3446914,40.67115965,42.00150013,42.49418988,0.00048858,-0.000976682,25446032,82.734,80.9968,78.9671,76.9564145,0.011832947,0.002293052,12916010,42.0439237,42.07075769,41.98870912,40.32470011,0.013092269,-0.006153846,25869583,29.9501663,30.55123628,32.13903113,31.94661862,-0.000936275,0.00058572,3166588,153.3486948,152.0019355,149.7045878,159.0441569,-0.0289688,0.000528789,0.029497589,0.028530215,0.058027804,-0.004332575,-0.00077302
5,-0.0289688,-0.003063726,118923970,122.3557176,122.7927726,115.9872598,107.0588375,8.86E-05,-0.006839485,1859787,552.4216,555.9808,540.4135,557.3318,-0.001730852,-0.005797573,1490983,543.8622,549.3582,535.2225,549.8613195,0.007075472,-0.004683841,34988,8.7452,8.8194,8.8937,9.067925,0.028777731,-0.008849558,60730778,40.58517465,40.77794297,42.01139886,42.53179575,-0.014053526,-0.008304413,23775344,82.584,81.0956,79.0193,77.0281145,0.018073667,-0.002247191,18287732,42.05970013,42.08485379,42.01385508,40.34778227,0.022291022,-0.013930951,29572822,30.01905468,30.52587628,32.0982154,31.95800662,0.018088158,-0.00298988,5816308,153.6977851,152.2559559,149.8209243,158.9952315,-0.011677935,-0.00140789,0.010270045,0.013788554,0.024058599,-0.005801647,-0.000899994
6,-0.011677935,-0.00886194,63386083,122.4310386,122.8084162,116.1143641,107.2203605,0.001569999,-0.005041059,1681064,551.7756,556.3084,540.6577,557.16745,-0.002525115,-0.002203686,1698761,543.0178,549.483,535.4001,549.6823695,-0.012941177,-0.009535161,23260,8.7228,8.8094,8.8919,9.063575,0.006978654,-0.007337954,47804562,40.82031383,40.8825341,42.02399173,42.56871439,0.005686789,-0.005654632,26430258,82.3902,81.1929,79.07515,77.0909395,0.007432432,-0.015202325,36605198,42.1053834,42.10517347,42.04240064,40.37024799,0.009981573,-0.005321575,21819019,30.09835201,30.49086433,32.05771945,31.96764351,0.005767013,-0.003612385,4517190,154.1261628,152.5084733,149.9245119,158.9399944,-0.018431373,-0.00199253,0.016438843,-0.013504759,0.002934084,-0.011623541,-0.001100374
7,-0.018431373,0.007590891,83195423,122.4994069,122.7395651,116.2119995,107.3704174,-0.017527213,0.003170727,2362024,551.0464,556.4308,540.7196,556.946,-0.019219888,0.002028511,2082214,542.16,549.4358,535.4004,549.4451695,-0.014440433,0.001221001,59776,8.7028,8.7932,8.8868,9.058075,-0.001232033,-0.001233553,64725457,41.09438839,40.98006342,42.02537511,42.60217852,-0.015498063,0.005966739,28999005,82.2242,81.2341,79.11045,77.1489645,-0.009761634,-0.004126548,20196267,42.13811134,42.09883987,42.06178594,40.38707027,-0.00489147,0.002457757,22013324,30.19903501,30.45840731,32.01377164,31.97467571,-0.014271739,0.01115068,5062613,154.5804686,152.6794486,150.0032678,158.8764588,0.02260111,0.000857731,0.021743379,0.016687242,-0.005056137,-0.006781455,-0.000667914
8,0.02260111,0.004265219,58512638,122.6813362,122.7492216,116.3510429,107.5413948,0.001180723,-0.00030844,1828566,550.5472,556.525,540.9504,556.7487,-0.000984343,0.001171221,1768181,541.4692,549.3364,535.5268,549.2213695,-0.001219512,0.007326007,24459,8.6824,8.7788,8.8811,9.052425,0.001543845,-0.005857569,38937336,41.37857851,41.0784516,42.03088137,42.62808754,-0.003154972,0.004304342,24136358,82.0634,81.2255,79.13675,77.2056145,0.02140884,0.004056795,11941981,42.19771318,42.1069132,42.08808479,40.40889289,0.024210849,-0.00448833,27091249,30.32545653,30.44345626,31.9760833,31.97219755,0.002713626,0.004606438,3312052,155.0719757,152.8632001,150.1116585,158.8062788,-0.006177606,-0.000867697,0.005309909,0.014774855,0.020084764,-0.008530921,-0.000576319
9,-0.006177606,-0.004273504,50988278,122.8918488,122.7338677,116.5126811,107.7192185,0.003357593,-0.004847695,1762952,550.3588,556.7458,541.1715,556.6088,0.00417804,-0.004752395,1307960,541.1668,549.373,535.6648,549.05662,-0.006060606,-0.007317073,25140,8.6584,8.767,8.8734,9.046875,-0.002687616,-0.008706468,34039485,41.65608855,41.16214359,42.03929709,42.64991087,-0.006554897,-0.003299074,14691991,81.8838,81.2038,79.15965,77.267615,0.000897868,-0.002691186,9168246,42.27946065,42.12586535,42.12194208,40.43347387,0.004809137,-0.005604336,21397275,30.37958311,30.42490939,31.9429055,31.97416987,-0.002865822,-0.002644134,4023850,155.5818954,153.0570974,150.2360211,158.7369092,-0.018337885,0.000519485,0.01885737,-0.007836534,0.011020836,-0.006404738,-0.00057818
10,-0.018337885,0.006041335,49271416,122.8698318,122.5948135,116.629771,107.8766546,-0.012932601,-0.000745794,1426417,549.6352,556.9067,541.24085,556.298475,-0.01376786,0.000828938,1383068,540.3176,549.3508,535.6391,548.73522,0.008599509,-0.103532278,51237,8.6236,8.7544,8.8679,9.041425,-0.004600585,-0.000630252,50369191,41.90955026,41.22799019,42.04260024,42.66793181,-0.012603437,0.00528623,22311318,81.6584,81.1782,79.16685,77.3133155,-0.012367889,0.006375228,11410732,42.30408171,42.13158,42.14444104,40.45436001,-0.010909091,-0.004289216,29779184,30.43333118,30.40825506,31.90743585,31.97353995,-0.002478243,0.006596878,3593465,155.9730719,153.2481764,150.3414812,158.6633131,-0.012247156,-0.000404607,0.011842549,-0.014042355,-0.002199806,-0.006518582,-0.000377524
